wallet_id,wallet_address,private_key,device_id,device_category,devices_owned
wallet_001,0xaa55889648777CDf8283309334cfe35C0474865d,0xf749e0f461492f2ca974c2ac67173df1dd46f921a02a59e69206c816247aaade,did:lcore:health-tracker-3,health,1
wallet_002,0x15b7BE86B61DBa0eb5e25d182c6370a791D8F5de,0x21592e27c0975f68dae085d48f9c51332f086d0af2e1b745c8e2e22f54c70e82,did:lcore:retail-midtown-store-3,retail,1
wallet_003,0xF80812f759FF5308EE144845B3c978E437AEFe3b,0xd36295d8c4b376725c53c50bb4b81312ae4989c051fea69506b06a6b6cdc4c0b,did:lcore:cell-tower-tower-7,network,1
wallet_004,0x8a6B923F3a7E821b4fB83BAe598a72916cd717EB,0xd3c2a509055a74378e0e091bbbf3487aa262d0c450bef98d56a0464e7a5d8eb8,did:lcore:cell-tower-tower-3,network,1
wallet_005,0x15032Fe2413b031b42e33E74b00e823B6EaAD4d4,0xb4a386ef62bfe76786e7085afbecdeb1797b0e97916653647c946dd0fd72ecc9,did:lcore:env-103-air,environmental,1
wallet_006,0xcC77096F2973BD00592b0d3f11B1c951c4b6b9fF,0x235fd2e49c6156322123cc3e0ea48730bdeddd4d27ab659255262c95497276da,did:lcore:retail-west-bottoms-store-2,retail,1
wallet_007,0x31687F2c23849B279eD7B7487b1BeD2c997Db743,0xa08a3402c5d686597c5875b6ffdb851cc201613a1931c2d9c6bd228f0ac467b4,did:lcore:retail-crown-center-store-1,retail,1
wallet_008,0x1BA06167E9e1A3FdE3d5004c15a750cdAd7cF17F,0x9b1f0bcb8f413051818593399ec70c03e55c5aad44eadd4fa1f34d9028d6e3e4,did:lcore:weather-station-oakland-2,weather,1
wallet_009,0x121d761Cd0aB15B5f10a0437D91C0DF2E1e7e396,0x0866ddf16f3722dca7cd5d275bdc8ffc0a33becbc9800c7db1da7778f6131fce,did:lcore:health-tracker-4,health,1
wallet_010,0x68bF14E9eF6CC1B31FF2fE19bB261eD19666f713,0x65b994980a52a278d4379981e2a45ba93e386fe9b6be278b04b42a33747d6f61,did:lcore:retail-power-and-light-district-store-1,retail,1
wallet_011,0xA725ac2fc56FfeA11514F5562a35De9cfC7f8b09,0xf13f57014bf7806ce8b0aa652ccb0c4c7caefb46b1f6a828557d78a298309168,did:lcore:env-104-air,environmental,1
wallet_012,0x304Fb709c344CCEf4aE3235177E268ABABF26197,0x4b121acb0502bc538a39ba4b83f16fe0310bc0320b28c1ad89c6ae1f87d3ba24,did:lcore:retail-39th-street-district-store-2,retail,1
